City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Avarua,0,CK,1564544783,78,-21.21,-159.78,77.0,12.75
Sorland,0,NO,1564544879,81,67.67,12.69,52.64,15.01
Jingdezhen,19,CN,1564544879,51,29.29,117.2,96.02,2.77
Yellowknife,20,CA,1564544879,45,62.45,-114.38,64.4,9.17
Busselton,0,AU,1564544880,47,-33.64,115.35,69.01,8.63
Porto Novo,40,BR,1564544880,93,-23.68,-45.44,59.0,1.12
Rikitea,84,PF,1564544880,78,-23.12,-134.97,69.02,24.99
Nikolskoye,75,RU,1564544881,93,59.7,30.79,50.0,13.42
Caramay,100,PH,1564544881,73,10.18,119.24,83.78,9.91
Fairbanks,75,US,1564544587,52,64.84,-147.72,68.0,4.85
Constitucion,90,MX,1564544881,56,23.99,-104.67,68.0,4.7
Avera,1,US,1564544882,69,33.19,-82.53,82.0,4.7
Punta Arenas,90,CL,1564544882,93,-53.16,-70.91,39.2,25.28
Faanui,0,PF,1564544883,78,-16.48,-151.75,78.74,21.77
Ossora,100,RU,1564544883,75,59.24,163.07,63.08,5.82
Vaini,75,IN,1564544883,88,15.34,74.49,77.0,11.41
Nuuk,0,GL,1564544596,93,64.17,-51.74,42.8,4.7
Albany,90,US,1564544701,83,42.65,-73.75,73.4,1.86
Mataura,100,NZ,1564544884,79,-46.19,168.86,46.0,15.01
Khatanga,61,RU,1564544884,50,71.98,102.47,58.94,15.01
Kaniama,46,CD,1564544884,31,-7.57,24.18,60.56,3.89
Castlegar,54,CA,1564544885,46,49.32,-117.66,69.01,8.01
Karratha,0,AU,1564544885,19,-20.74,116.85,81.08,22.84
Ushuaia,20,AR,1564544885,64,-54.81,-68.31,35.6,12.75
Jamestown,0,AU,1564544682,53,-33.21,138.6,53.36,5.97
Geraldton,20,CA,1564544886,67,49.72,-86.95,57.2,3.36
Saint-Philippe,90,CA,1564544886,88,45.36,-73.48,75.0,6.93
Palmer,75,AU,1564544886,47,-34.85,139.16,55.99,5.82
Labuhan,0,ID,1564544886,44,-2.54,115.51,90.98,1.21
Butaritari,62,KI,1564544886,69,3.07,172.79,85.04,7.65
Padang,85,ID,1564544887,80,-0.92,100.36,81.08,11.86
Portland,20,US,1564544647,78,43.66,-70.25,78.01,5.82
Tuatapere,100,NZ,1564544887,79,-46.13,167.69,46.0,15.01
Yaan,100,NG,1564544887,97,7.38,8.57,72.44,4.7
Qaanaaq,100,GL,1564544888,55,77.48,-69.36,44.54,5.5
Carire,96,BR,1564544837,54,-3.95,-40.47,73.52,1.52
Cabo San Lucas,5,MX,1564544719,42,22.89,-109.91,93.2,12.75
Codrington,90,AU,1564544888,87,-28.95,153.24,59.0,8.05
Homer,1,US,1564544888,63,59.64,-151.54,64.4,13.87
Saint-Paul,90,FR,1564544889,100,45.22,1.9,54.0,0.78
Esperance,0,AU,1564544889,55,-33.86,121.89,60.8,13.87
Hermanus,62,ZA,1564544889,89,-34.42,19.24,54.0,1.99
Port Elizabeth,1,US,1564544890,65,39.31,-74.98,80.6,4.7
Walvis Bay,0,NA,1564544890,87,-22.95,14.51,55.4,3.36
Chama,1,ZM,1564544890,82,-11.22,33.16,54.98,0.72
Thompson,75,CA,1564544877,56,55.74,-97.86,68.0,5.82
Port Alfred,0,ZA,1564544891,81,-33.59,26.89,57.0,4.0
Ilulissat,75,GL,1564544891,33,69.22,-51.1,62.6,19.46
Tokur,100,RU,1564544891,98,53.13,132.9,56.6,2.93
Antalaha,68,MG,1564544891,98,-14.9,50.28,66.86,2.06
Souillac,88,FR,1564544892,87,45.6,-0.6,59.0,2.24
Sitka,10,US,1564544892,43,37.17,-99.65,82.99,8.01
Port Hardy,90,CA,1564544892,93,50.7,-127.42,59.0,7.16
Ponta do Sol,78,BR,1564544893,62,-20.63,-46.0,62.36,0.27
Pisco,90,PE,1564544893,82,-13.71,-76.2,59.0,9.17
Bluff,7,AU,1564544893,44,-23.58,149.07,72.8,9.51
Hobart,0,AU,1564544867,50,-42.88,147.33,55.0,12.75
Mazurivka,90,UA,1564544894,100,49.27,24.21,66.2,4.47
Kruisfontein,0,ZA,1564544894,78,-34.0,24.73,51.38,10.0
Barrow,33,AR,1564544894,59,-38.31,-60.23,51.92,7.72
Cayenne,0,GF,1564544894,94,4.94,-52.33,77.0,3.51
Nemuro,20,JP,1564544895,70,43.32,145.57,86.0,8.05
Shawville,100,CA,1564544895,93,45.61,-76.49,69.01,2.3
Solnechnyy,99,RU,1564544895,84,50.72,136.64,66.14,4.0
Mar del Plata,48,AR,1564544896,71,-46.43,-67.52,42.74,18.07
Campo Grande,0,BR,1564544896,56,-20.46,-54.62,69.8,6.93
Yenagoa,99,NG,1564544896,94,4.92,6.26,73.7,3.6
Bambous Virieux,75,MU,1564544896,94,-20.34,57.76,71.6,5.82
Vestmanna,90,FO,1564544896,87,62.16,-7.17,57.2,16.11
Hilo,20,US,1564544897,65,19.71,-155.08,82.4,5.82
Hasaki,75,JP,1564544897,66,35.73,140.83,99.0,4.7
Makakilo City,1,US,1564544898,55,21.35,-158.09,87.8,9.17
Tasiilaq,100,GL,1564544898,81,65.61,-37.64,46.4,3.36
Bilma,5,NE,1564544898,30,18.69,12.92,91.7,14.74
Nanchong,5,CN,1564544898,73,30.8,106.08,84.14,3.24
Sangin,0,AF,1564544899,15,32.07,64.85,90.8,3.36
Thinadhoo,88,MV,1564544899,66,0.53,72.93,83.24,8.81
New Norfolk,0,AU,1564544601,50,-42.78,147.06,55.0,12.75
Sao Gabriel da Cachoeira,54,BR,1564544899,97,-0.13,-67.09,71.9,1.68
Chumikan,100,RU,1564544900,84,54.72,135.31,60.56,8.79
Vila Velha,40,BR,1564544900,74,-3.71,-38.6,86.0,17.22
Petropavlovsk-Kamchatskiy,90,RU,1564544900,93,53.05,158.65,59.0,6.71
Atuona,24,PF,1564544900,74,-9.8,-139.03,79.82,12.41
Airai,0,TL,1564544901,43,-8.93,125.41,84.68,1.99
Kilindoni,100,TZ,1564544901,80,-7.91,39.67,76.94,15.61
Ranong,75,TH,1564544901,79,9.96,98.62,86.0,9.17
Puerto Ayora,6,EC,1564544901,88,-0.74,-90.35,68.0,1.01
Saint George,20,GR,1564544703,69,39.45,22.34,73.4,0.78
Ankazoabo,0,MG,1564544902,80,-22.29,44.51,60.38,1.12
Aklavik,40,CA,1564544902,45,68.22,-135.01,62.6,6.93
Ostrovnoy,100,RU,1564544902,97,68.05,39.51,42.02,25.79
Bandarbeyla,100,SO,1564544903,65,9.49,50.81,76.04,21.43
Kungurtug,49,RU,1564544903,40,50.6,97.53,69.74,1.72
Chuy,0,UY,1564544903,89,-33.69,-53.46,50.48,7.16
Elk Plain,1,US,1564544904,64,47.04,-122.37,73.4,6.13
Champerico,40,MX,1564544904,61,16.38,-93.6,80.6,6.93
Pevek,100,RU,1564544904,97,69.7,170.27,30.86,12.46
Lazaro Cardenas,40,MX,1564544905,47,28.39,-105.62,81.0,9.66
Linxi,40,CN,1564544905,74,23.65,116.7,86.0,11.18
Arraial do Cabo,0,BR,1564544905,79,-22.97,-42.02,68.12,10.11
Moose Factory,90,CA,1564544905,87,51.26,-80.61,53.6,11.41
Kodiak,75,US,1564544906,94,39.95,-94.76,75.2,4.7
Torbay,90,CA,1564544906,87,47.66,-52.73,54.0,11.41
Cape Town,40,ZA,1564544685,93,-33.93,18.42,55.0,4.7
Lorengau,14,PG,1564544906,73,-2.02,147.27,84.5,12.19
Novodugino,99,RU,1564544907,95,55.63,34.3,44.9,10.83
Tiksi,99,RU,1564544907,88,71.64,128.87,39.86,4.7
Haftoni,0,AZ,1564544907,65,38.76,48.76,77.0,2.24
Talnakh,0,RU,1564544907,56,69.49,88.39,68.0,6.71
Chokurdakh,100,RU,1564544908,75,70.62,147.9,44.36,6.73
Hay River,40,CA,1564544908,82,60.82,-115.79,59.0,4.7
Beringovskiy,100,RU,1564544908,60,63.05,179.32,55.88,2.24
Raudeberg,100,NO,1564544908,87,61.99,5.14,62.6,9.17
Katsuura,20,JP,1564544908,74,33.93,134.5,89.6,6.93
Basco,1,US,1564544909,77,40.33,-91.2,69.8,4.7
Touros,34,BR,1564544909,79,-5.2,-35.46,78.38,19.6
Teahupoo,75,PF,1564544909,65,-17.83,-149.27,80.6,5.82
Clyde River,75,CA,1564544909,93,70.47,-68.59,44.6,4.7
Gonen,0,IL,1564544910,73,33.12,35.65,78.8,1.57
Marsa Matruh,25,EG,1564544910,77,31.35,27.25,78.56,10.6
Nichinan,20,JP,1564544910,79,31.65,131.31,89.6,11.41
Kovvur,75,IN,1564544645,74,17.02,81.73,82.4,6.93
Saint-Joseph,90,FR,1564544911,93,43.56,6.97,75.2,3.36
Georgiyevka,100,RU,1564544911,93,52.25,40.45,53.36,6.17
Along,100,IN,1564544911,81,28.17,94.8,67.58,2.42
Bethel,20,US,1564544911,48,60.79,-161.76,66.2,13.87
Muros,0,ES,1564544912,93,42.77,-9.06,59.0,3.36
Severo-Kurilsk,100,RU,1564544912,92,50.68,156.12,48.68,16.8
Rome,0,IT,1564544830,83,41.89,12.48,72.0,3.36
Selma,1,US,1564544880,88,32.41,-87.02,77.0,6.93
Freetown,0,BS,1564544912,72,26.61,-78.36,85.04,10.63
Egvekinot,61,RU,1564544869,50,66.32,-179.17,50.66,16.46
Concepcion,71,CO,1564544913,89,9.56,-73.66,77.48,4.68
Kahului,40,US,1564544913,69,20.89,-156.47,84.2,16.11
Santa Fe,23,AR,1564544913,91,-31.62,-60.7,55.99,3.0
Balabac,100,PH,1564544914,71,7.99,117.06,85.58,14.65
Turan,100,RU,1564544914,65,52.15,93.92,62.0,1.5
Ambilobe,0,MG,1564544914,88,-13.19,49.05,71.0,4.94
Teya,20,MX,1564544914,78,21.05,-89.07,82.4,9.17
Ormara,58,PK,1564544915,73,25.21,64.64,82.34,14.9
Mehamn,75,NO,1564544915,87,71.03,27.85,50.0,5.82
Waipawa,0,NZ,1564544915,81,-39.94,176.59,46.0,3.0
Klaksvik,86,FO,1564544915,87,62.23,-6.59,57.2,16.11
Georgetown,0,GY,1564544916,100,6.8,-58.16,75.2,4.7
Srivardhan,100,IN,1564544916,83,18.03,73.02,80.9,18.28
Rafaela,24,AR,1564544730,77,-31.25,-61.49,51.01,1.99
Kununurra,57,AU,1564544916,21,-15.77,128.74,89.6,16.11
Sao Filipe,80,CV,1564544917,91,14.9,-24.5,75.32,17.05
Otjiwarongo,0,NA,1564544917,24,-20.46,16.65,48.2,1.12
Prachuap Khiri Khan,100,TH,1564544917,75,11.81,99.79,78.74,10.22
Srednekolymsk,100,RU,1564544917,68,67.46,153.71,50.3,7.94
Victoria,75,BN,1564544917,62,5.28,115.24,89.6,5.82
Husavik,35,CA,1564544918,53,50.56,-96.99,64.99,3.0
Salinopolis,43,BR,1564544918,82,-0.61,-47.36,81.62,14.38
Longyearbyen,75,NO,1564544918,87,78.22,15.63,44.6,4.7
Stromness,75,CA,1564544919,83,42.87,-79.55,73.99,5.82
Banyo,94,CM,1564544919,96,6.75,11.81,61.46,0.47
Ahipara,52,NZ,1564544919,100,-35.17,173.16,50.0,25.17
Anapskaya,40,RU,1564544919,100,44.9,37.38,71.6,4.47
Ponta Delgada,75,PT,1564544920,88,37.73,-25.67,71.6,11.41
Lianzhou,1,CN,1564544920,55,24.79,112.38,84.68,6.8
San Matias,0,BO,1564544920,40,-16.36,-58.4,75.14,1.74
Luneville,0,FR,1564544920,63,48.6,6.5,64.4,3.36
Coahuayana,66,MX,1564544921,85,18.62,-100.35,72.8,2.42
Alofi,40,NU,1564544921,78,-19.06,-169.92,82.4,6.93
Sinop,6,TR,1564544921,88,42.03,35.15,72.08,13.76
Kavaratti,40,IN,1564544921,83,10.57,72.64,84.2,5.82
Castro,75,CL,1564544922,93,-42.48,-73.76,44.6,10.29
Cairns,40,AU,1564544768,47,-16.92,145.77,78.8,17.22
Carnarvon,24,ZA,1564544922,95,-30.97,22.13,36.98,6.64
Port Lincoln,100,AU,1564544922,75,-34.72,135.86,55.52,14.9
Cherskiy,100,RU,1564544922,81,68.75,161.3,41.48,6.91
Komsomolskiy,36,RU,1564544923,82,67.55,63.78,59.48,17.11
Abu Dhabi,0,AE,1564544912,39,24.47,54.37,96.8,10.29
Masuguru,0,MZ,1564544923,87,-11.38,38.46,62.9,1.81
Bredasdorp,16,ZA,1564544923,71,-34.53,20.04,55.4,9.17
Saldanha,100,PT,1564544924,65,41.42,-6.55,58.58,5.19
San Patricio,1,PY,1564544924,97,-26.98,-56.83,57.86,4.59
Kloulklubed,90,PW,1564544924,88,7.04,134.26,78.8,10.29
Colombo,0,BR,1564544729,93,-25.29,-49.22,55.99,2.24
Morris,1,US,1564544925,87,45.59,-95.91,66.2,6.93
Buala,62,SB,1564544925,74,-8.15,159.59,83.42,12.01
Fare,10,PF,1564544925,79,-16.7,-151.02,77.66,22.15
Reconquista,0,AR,1564544925,89,-29.14,-59.64,55.16,5.39
Ribeira Grande,0,PT,1564544926,90,38.52,-28.7,72.8,13.82
Pimentel,65,BR,1564544926,67,-3.7,-45.5,70.64,1.03
Comodoro Rivadavia,0,AR,1564544926,53,-45.87,-67.48,51.8,24.16
Kapaa,40,US,1564544927,66,22.08,-159.32,87.8,14.99
Zhezkazgan,40,KZ,1564544927,24,47.8,67.71,82.4,6.71
Lianran,40,CN,1564544927,82,24.92,102.47,77.0,6.71
Olinda,40,AU,1564544927,62,-37.84,145.39,57.0,6.93
Tilichiki,86,RU,1564544928,69,60.47,166.1,65.78,6.04
Jalu,0,LY,1564544928,64,29.03,21.55,73.16,7.49
Bathsheba,40,BB,1564544865,83,13.22,-59.52,82.4,17.22
Umm Lajj,6,SA,1564544928,60,25.02,37.27,85.94,8.1
Saskylakh,62,RU,1564544929,54,71.97,114.09,54.62,11.7
Quatre Cocos,75,MU,1564544929,94,-20.21,57.76,71.6,5.82
Monroe,40,US,1564544917,94,41.91,-83.4,75.99,6.46
Ust-Kuyga,99,RU,1564544929,63,70.0,135.55,50.48,12.71
Caucel,20,MX,1564544929,78,21.02,-89.71,82.4,9.17
Nadym,100,RU,1564544930,94,65.53,72.51,61.28,14.43
Ancud,75,CL,1564544930,93,-41.87,-73.83,44.6,10.29
Cidreira,0,BR,1564544930,92,-30.17,-50.22,53.9,3.13
Angoche,50,MZ,1564544930,77,-16.23,39.91,67.4,1.36
Camargo,56,MX,1564544931,41,27.69,-105.17,82.34,7.45
Shu,100,KZ,1564544931,39,43.6,73.76,82.34,7.27
Palu,93,ID,1564544931,74,-0.9,119.87,79.28,2.26
Ciudad Bolivar,100,VE,1564544931,94,8.12,-63.55,74.96,2.35
Patitirion,20,GR,1564544932,83,39.15,23.87,77.0,5.82
Nabire,100,ID,1564544932,71,-3.36,135.5,77.66,8.37
Tuktoyaktuk,20,CA,1564544932,70,69.44,-133.03,48.2,5.82
Aykhal,90,RU,1564544933,62,65.95,111.51,53.6,6.71
Kiunga,75,PG,1564544933,86,-6.12,141.3,78.56,3.33
Ust-Maya,1,RU,1564544933,32,60.42,134.54,70.82,4.7
Sao Francisco,0,BR,1564544933,88,-25.65,-53.85,64.4,1.7
Nailsea,90,GB,1564544934,93,51.43,-2.76,62.01,18.34
Rawson,100,AR,1564544934,68,-43.3,-65.11,52.28,10.63
Namatanai,100,PG,1564544934,82,-3.66,152.44,80.54,13.09
Broome,89,GB,1564544934,88,52.47,1.45,64.0,13.87
Arlit,81,NE,1564544935,31,18.74,7.39,91.34,8.63
Gibara,75,CU,1564544935,88,21.11,-76.13,78.8,6.93
Nizhniy Tsasuchey,0,RU,1564544935,50,50.52,115.13,76.4,11.59
Te Anau,88,NZ,1564544935,79,-45.41,167.72,39.68,3.38
Demirci,0,TR,1564544936,10,39.05,28.66,75.0,58.0
Narsaq,32,GL,1564544936,62,60.91,-46.05,51.8,2.24
Yarada,75,IN,1564544936,74,17.65,83.27,84.2,13.87
Izhmorskiy,100,RU,1564544936,93,56.19,86.64,64.7,11.88
Lalmohan,100,BD,1564544937,84,22.34,90.74,81.26,8.95
Steamboat Springs,1,US,1564544937,45,40.48,-106.83,75.2,4.7
Vestmannaeyjar,100,IS,1564544937,87,63.44,-20.27,56.42,17.58
Sao Desiderio,89,BR,1564544937,47,-12.36,-44.97,71.0,4.0
Dovers,15,VC,1564544937,79,12.88,-61.18,82.52,9.91
Hithadhoo,100,MV,1564544788,65,-0.6,73.08,84.32,9.64
Mudgee,90,AU,1564544938,54,-32.6,149.59,59.0,9.17
Voh,0,NC,1564544938,72,-20.95,164.69,69.38,18.81
Imbituba,0,BR,1564544938,77,-28.24,-48.67,64.4,4.7
Mariental,20,BR,1564544939,100,-25.72,-49.65,55.99,2.24
Sovetskaya Gavan,100,RU,1564544939,97,48.97,140.29,60.38,4.76
Mahebourg,75,MU,1564544939,94,-20.41,57.7,71.6,5.82
Saint-Augustin,75,CA,1564544939,94,45.63,-73.98,75.0,5.82
Port Blair,69,IN,1564544940,77,11.67,92.75,83.78,18.95
Erenhot,0,CN,1564544940,43,43.65,111.97,73.7,10.45
Tautira,75,PF,1564544940,65,-17.73,-149.15,80.6,5.82
Kavieng,100,PG,1564544940,76,-2.57,150.8,81.98,8.34
Madawaska,90,CA,1564544941,88,47.36,-68.32,71.01,3.36
Letpadan,100,MM,1564544941,78,17.78,95.75,81.44,3.51
Marsh Harbour,7,BS,1564544941,71,26.54,-77.06,84.86,10.47
Santa Cruz,36,BR,1564544942,85,-6.22,-36.02,69.2,17.13
Port Keats,10,AU,1564544942,31,-14.25,129.55,89.18,6.35
Nouna,88,BF,1564544942,77,12.73,-3.87,78.2,9.53
Muyezerskiy,100,RU,1564544942,83,63.93,31.65,41.66,14.88
Puerto Escondido,5,MX,1564544942,74,15.86,-97.07,82.4,2.53
Dioknisi,75,GE,1564544943,100,41.63,42.39,75.2,3.36
Saint-Pierre,0,FR,1564544943,93,48.95,4.24,62.6,8.05
Huntington,1,US,1564544700,74,40.87,-73.43,82.0,11.41
Khasan,100,RU,1564544943,83,42.43,130.64,78.56,1.99
Batticaloa,96,LK,1564544944,63,7.71,81.69,85.22,0.43
Les Cayes,0,HT,1564544944,74,18.19,-73.75,82.88,5.75
Tahoua,0,NE,1564544944,69,14.89,5.26,82.4,11.41
Curitibanos,21,BR,1564544944,99,-27.29,-50.58,52.0,2.28
Foz do Iguacu,0,BR,1564544945,100,-25.55,-54.59,66.2,3.36
Charters Towers,19,AU,1564544945,35,-20.07,146.27,75.32,11.65
Deputatskiy,100,RU,1564544945,80,69.3,139.9,42.02,3.31
Oudtshoorn,0,ZA,1564544946,76,-33.59,22.2,48.2,8.05
Tres Picos,1,MX,1564544946,78,16.23,-93.58,70.82,8.9
Gardez,0,AF,1564544946,31,33.6,69.22,75.32,1.81
Norman Wells,75,CA,1564544946,59,65.28,-126.83,62.6,11.41
Ko Samui,20,TH,1564544947,66,9.54,99.94,87.8,12.75
Praia da Vitoria,40,PT,1564544947,88,38.73,-27.07,73.4,15.73
Ejea de los Caballeros,0,ES,1564544947,67,42.13,-1.14,61.0,11.41
Yulara,40,AU,1564544947,35,-25.24,130.99,69.8,19.46
Dingle,100,PH,1564544948,80,11.0,122.67,83.06,11.95
Polson,1,US,1564544948,24,47.69,-114.16,78.8,6.93
Astana,1,KZ,1564544948,36,51.13,71.43,78.8,13.42
Oranjestad,75,AW,1564544948,83,12.52,-70.03,84.2,17.22
Formosa,2,BR,1564544949,58,-15.55,-47.33,63.26,4.27
Manokwari,52,ID,1564544949,72,-0.87,134.08,80.54,3.69
